Município,Posição,Estimativa 2019,Latitude,Longitude,Região Administrativa,Porte,i-Amb
Adamantina,184,35068,-21.682,-51.0737,Região Administrativa de Presidente Prudente,Médio,B+
Adolfo,567,3562,-21.2325,-49.6451,Região Administrativa de São José do Rio Preto,Muito Pequeno,B+
Aguaí,176,36305,-22.0572,-46.9735,Região Administrativa de Campinas,Médio,C
Agudos,173,37214,-22.4694,-48.9863,Região Administrativa de Bauru,Médio,B+
Alambari,470,6025,-23.5503,-47.898,Região Administrativa de Sorocaba,Pequeno,C
Alfredo Marcondes,539,4166,-21.9527,-51.414,Região Administrativa de Presidente Prudente,Muito Pequeno,B
Altair,541,4160,-20.5242,-49.0571,Região Administrativa de Barretos,Muito Pequeno,B
Altinópolis,298,16184,-21.0214,-47.3712,Região Administrativa de Ribeirão Preto,Pequeno,B
Alto Alegre,545,4099,-21.5811,-50.168,Região Administrativa de Araçatuba,Muito Pequeno,B
Alumínio,270,18628,-23.5306,-47.2546,Região Administrativa de Sorocaba,Pequeno,B
Alvinlândia,578,3222,-22.4435,-49.7623,Região Administrativa de Marília,Muito Pequeno,B+
Americana,34,239597,-22.7374,-47.3331,Região Administrativa de Campinas,Grande,B
Amparo,105,72195,-22.7088,-46.772,Região Administrativa de Campinas,Médio,B
Américo Brasiliense,168,40504,-21.7288,-48.1147,Região Administrativa Central,Médio,B
Américo de Campos,474,5969,-20.2985,-49.7359,Região Administrativa de São José do Rio Preto,Pequeno,C+
Analândia,503,4995,-22.1289,-47.6619,Região Administrativa de Campinas,Muito Pequeno,C
Andradina,124,57157,-20.8948,-51.3786,Região Administrativa de Araçatuba,Médio,A
Angatuba,227,25228,-23.4917,-48.4139,Região Administrativa de Itapeva,Médio,B+
Anhembi,446,6724,-22.793000000000006,-48.1336,Região Administrativa de Sorocaba,Pequeno,C+
Anhumas,543,4115,-22.2934,-51.3895,Região Administrativa de Presidente Prudente,Muito Pequeno,B+
Aparecida,177,36157,-22.8495,-45.2325,Região Administrativa de São José dos Campos,Médio,B
Aparecida d'Oeste,536,4196,-20.4487,-50.8835,Região Administrativa de São José do Rio Preto,Muito Pequeno,C+
Apiaí,235,24374,-24.5108,-48.8443,Região Administrativa de Itapeva,Médio,C
Aramina,487,5620,-20.0882,-47.7873,Região Administrativa de Franca,Pequeno,B+
Arandu,456,6357,-23.1386,-49.0487,Região Administrativa de Itapeva,Pequeno,C
Arapeí,610,2469,-22.6717,-44.4441,Região Administrativa de São José dos Campos,Muito Pequeno,C
Araraquara,37,236072,-21.7845,-48.178,Região Administrativa Central,Grande,B+
Araras,58,134236,-22.3572,-47.3842,Região Administrativa de Campinas,Médio,B+
Araçariguama,241,22364,-23.4366,-47.0608,Região Administrativa de Sorocaba,Médio,C
