Município,Posição,Estimativa 2019,Latitude,Longitude,Região Administrativa,Porte,i-Amb
Adamantina,184,35068,-21.682,-51.0737,Região Administrativa de Presidente Prudente,Médio,B+
Analândia,503,4995,-22.1289,-47.6619,Região Administrativa de Campinas,Muito Pequeno,C
Artur Nogueira,132,54408,-22.5727,-47.1727,Região Administrativa de Campinas,Médio,B+
Barra do Turvo,429,7659,-24.759,-48.5013,Região Administrativa de Registro,Pequeno,C
Barueri,29,274182,-23.5057,-46.879,Região Metropolitana de São Paulo,Grande,B
Birigui,63,123638,-21.291,-50.3432,Região Administrativa de Araçatuba,Médio,B
Bom Sucesso de Itararé,554,3954,-24.3155,-49.1451,Região Administrativa de Itapeva,Muito Pequeno,C
Borborema,299,16046,-21.6214,-49.0741,Região Administrativa Central,Pequeno,B+
Botucatu,55,146497,-22.8837,-48.4437,Região Administrativa de Sorocaba,Médio,A
Caconde,265,18985,-21.528000000000002,-46.6437,Região Administrativa de Campinas,Pequeno,B
Campinas,3,1204073,-22.9053,-47.0659,Região Administrativa de Campinas,Grande,A
Carapicuíba,17,400927,-23.5235,-46.8407,Região Metropolitana de São Paulo,Grande,C
Cerqueira César,260,19985,-23.038,-49.1655,Região Administrativa de Sorocaba,Pequeno,C
Cosmópolis,104,72252,-22.6419,-47.1926,Região Administrativa de Campinas,Médio,C+
Cotia,33,249210,-23.6022,-46.919,Região Metropolitana de São Paulo,Grande,B
Cravinhos,180,35292,-21.338,-47.7324,Região Administrativa de Ribeirão Preto,Médio,C+
Cruzeiro,95,82238,-22.5728,-44.968999999999994,Região Administrativa de São José dos Campos,Médio,C
Echaporã,465,6102,-22.4326,-50.2038,Região Administrativa de Marília,Pequeno,B
Gabriel Monteiro,596,2776,-21.5294,-50.5573,Região Administrativa de Araçatuba,Muito Pequeno,B+
Guaimbê,483,5765,-21.9091,-49.8986,Região Administrativa de Bauru,Pequeno,C+
Guarulhos,2,1379182,-23.4538,-46.5333,Região Metropolitana de São Paulo,Grande,B+
Guatapará,430,7656,-21.4944,-48.0356,Região Administrativa de Ribeirão Preto,Pequeno,B
